feature,value,shap_value
자산,16372,0.020368291
자산,24600,-0.39776853
자산,289900,-1.7110417
자산,37240,-0.6693953
자산,4662,0.19811136
자산,57412,-0.78607744
자산,797,1.180839
자산,12010,-0.15611199
자산,7240,0.45267376
자산,42348,-0.63671035
자산,37900,-0.767183
자산,206260,-1.6062388
자산,69500,-0.8430285
자산,107587,-1.9796282
자산,24004,-0.5182397
자산,19740,-0.8005387
자산,70856,-0.6949144
자산,130950,-1.3427056
자산,78798,-0.9606642
자산,36216,-0.5419073
자산,3968,0.32752112
자산,2635,0.76733667
자산,535600,-1.6497984
자산,43640,-0.31949726
자산,196425,-1.5439498
자산,146655,-1.5221521
자산,24030,-0.5555487
자산,5083,0.45256054
자산,7450,0.20946905
자산,9870,0.028145432
자산,13701,-0.25720802
자산,11978,-0.06942867
자산,39673,-0.7269776
자산,22068,-0.5722276
자산,22911,-0.7631806
자산,52130,-0.6894214
자산,21397,-0.28014484
자산,41680,-0.6707313
자산,23930,-0.26408914
자산,7218,0.2730179
자산,66045,-0.7306883
자산,55466,-0.6740351
자산,16960,-0.48744917
자산,18049,-0.43847838
자산,38500,-0.64627504
자산,137072,-1.5958735
자산,6152,0.3623604
자산,47655,-0.7499844
자산,58213,-0.668109
자산,4030,0.33694038
자산,11824,-0.15180464
자산,27000,-0.41901752
자산,30400,-0.9401748
자산,27914,-1.0772591
자산,38556,-0.65811193
자산,76180,-0.57088476
자산,8170,0.41612178
자산,21703,-0.47471762
자산,32779,-0.41504171
자산,3310,0.73181057
자산,23570,-0.456224
자산,64158,-0.71560466
자산,28376,-1.0774484
자산,540,1.6399345
자산,92265,-0.7356474
자산,1765,1.3419229
자산,14478,-0.27327612
자산,46600,-0.6440971
자산,12846,-0.06353533
자산,15842,-0.5566466
자산,52009,-0.6370835
자산,6648,-0.009857895
자산,66113,-0.5686684
자산,19485,-0.4435648
자산,43678,-0.67711675
자산,9580,-0.06410219
자산,8670,0.18058121
자산,36791,-0.74003774
자산,28550,-1.0479788
자산,4965,0.22582376
자산,175300,-1.6088258
자산,59402,-0.65530777
자산,99700,-1.9828498
자산,25915,-0.5549142
자산,10700,-0.052252695
자산,9833,-0.028182719
자산,29090,-1.3292416
자산,33800,-0.56035066
자산,22010,-0.7770184
자산,5050,0.15638848
자산,17771,-0.5053461
자산,20560,-0.38397312
자산,8428,0.14316575
자산,96380,-0.79111344
자산,41504,-0.5558854
자산,57540,-1.0073797
자산,83090,-0.9333013
자산,19200,-0.43218246
자산,3520,0.7525827
자산,10118,0.08154493
자산,12682,-0.14814448
자산,21745,-0.46329695
자산,3870,0.2817842
자산,6182,0.22936662
자산,13741,-0.18316706
자산,225990,-1.7170765
자산,10470,-0.22795792
자산,57364,-0.9191018
자산,36490,-0.56273836
자산,31426,-0.71513003
자산,45860,-0.7666371
자산,20232,-0.6080644
자산,30730,-0.7788851
자산,103908,-1.7393224
자산,28706,-1.1110226
자산,16777,-0.4097738
자산,36800,-0.67075884
자산,15216,-0.24325481
자산,29497,-1.0155325
자산,110604,-2.1436832
자산,11040,-0.14146996
자산,13630,-0.26457694
자산,73655,0.08144397
자산,79170,-1.0038888
자산,13902,-0.37745413
자산,9380,-0.041999597
자산,17923,-0.63056743
자산,14450,-0.19060737
자산,54100,-0.81677175
자산,94493,-1.1571966
자산,35306,-0.5608012
자산,9930,0.03464267
자산,42255,-0.5982593
자산,6500,0.37628648
자산,19791,-0.29546142
자산,60255,-0.62294924
자산,23480,-0.42010817
자산,20033,-0.6823265
자산,64620,-1.1340616
자산,51410,-0.8383451
자산,19828,-0.40635052
자산,5080,0.21015546
자산,637700,-1.4211856
자산,66580,-1.0232323
자산,1816,1.4774872
자산,22250,-0.41793692
자산,19800,-0.6364977
자산,136693,-1.8300419
자산,30640,-0.5238475
자산,49742,-0.633873
자산,45710,-0.8245066
자산,125000,-1.9773299
자산,38700,-0.6218225
자산,31300,-0.5449429
자산,42352,-0.7611187
자산,28956,-1.1028159
자산,88000,-1.2709441
자산,42786,-0.8445885
자산,66520,-0.9795131
자산,900,1.6029122
자산,21502,-0.43270096
자산,127100,-1.775755
자산,116800,-1.8890185
자산,6763,0.37879375
자산,32013,-0.5221637
자산,21145,-0.68990123
자산,19313,-0.4729235
자산,56800,-0.8766241
자산,101353,-1.7437835
자산,27600,-0.6806147
자산,68784,-0.36949998
자산,86892,-0.95488703
자산,157140,-1.8249263
자산,78268,-1.0717667
자산,930,1.4647121
자산,19233,-0.7171715
자산,19846,-0.6260897
자산,117810,-2.0049481
자산,32999,-0.88365567
자산,173310,-2.2319164
자산,25325,-0.26739165
자산,19770,-0.60646343
자산,21642,-0.516971
자산,20585,-0.34870532
자산,67886,-0.8453609
자산,28968,-1.3366258
자산,194768,-1.8409046
자산,12141,-0.05082878
자산,11311,-0.014205372
자산,4999,0.2877251
자산,64285,-0.9314748
자산,11320,-0.031070083
자산,79520,-1.0237709
자산,95000,-0.49460813
자산,141400,-1.8053681
자산,50294,-0.7165636
자산,36060,-0.69395775
자산,3170,0.7387054
자산,20006,-0.48498452
자산,17340,-0.42076096
자산,38500,-0.75464326
자산,1015,1.705091
자산,138810,-1.7040446
자산,12056,-0.09042311
자산,71502,-0.46100482
자산,22044,-0.5108216
자산,18980,-0.6142802
자산,3238,0.68645036
자산,135130,-1.6332574
자산,42530,-0.7112989
자산,37700,-0.89451283
자산,568,1.5111943
자산,48640,-0.6329227
자산,149593,-1.3789074
자산,89445,-1.4709183
자산,162390,-2.0295107
자산,244900,-1.8955451
자산,1710,1.293215
자산,19090,-0.2892239
자산,5615,0.47090864
자산,31700,-0.6902582
자산,89297,-1.2372707
자산,70544,-0.40876037
자산,17940,-0.6120589
자산,257779,-1.6922884
자산,11186,-0.16390368
자산,36620,-0.6780911
자산,35024,-0.6303064
자산,2995,0.74270433
자산,4625,0.39331535
자산,7103,0.4335952
자산,175984,-2.1031585
자산,4924,0.27715108
자산,86926,-1.2200458
자산,145060,-1.9472542
자산,5053,0.18877156
자산,12225,-0.1845995
자산,2980,0.6263877
자산,31550,-0.80935496
자산,382530,-1.8308655
자산,12025,-0.100143954
자산,42326,-0.6621251
자산,98850,-2.1248205
자산,21500,-0.44572106
자산,39575,-0.6359518
자산,50554,-0.87692356
자산,14530,-0.4509799
자산,3220,0.67581207
자산,98754,-1.9717797
자산,44358,-0.6590705
자산,3608,0.6157887
자산,13300,-0.25040975
자산,187950,-2.1078303
자산,40210,-0.52185327
자산,3032,0.38431785
자산,68336,-0.45197636
자산,80736,-1.3109243
자산,32000,-0.7690082
자산,38720,-0.8378853
자산,16430,-0.45182225
자산,1000,1.1313338
자산,51310,-0.8873005
자산,7894,0.30910844
자산,22110,-0.081645355
자산,3127,0.7354986
자산,32460,-0.7918341
자산,31350,-0.7924587
자산,27408,-0.6869735
자산,35760,-0.85960543
자산,126290,-1.5675023
자산,5740,0.3353413
자산,68890,-0.4209185
자산,1560,1.6340061
자산,27034,-0.6766335
자산,920,1.6124313
자산,27500,-0.51157564
자산,95700,-0.7292555
자산,49110,-0.735602
자산,20461,-0.513472
자산,20336,-0.7142704
자산,50850,-0.6957842
자산,27330,-0.70260304
자산,104845,-2.0199456
자산,19983,-0.45692438
자산,66852,-0.71960664
자산,91582,-0.69093305
자산,5510,0.20580612
자산,100020,-2.0593355
자산,72200,-0.5093439
자산,280646,-1.5484629
자산,6258,0.40419817
자산,9506,-0.071791925
자산,24830,-0.25236258
자산,168330,-1.5831879
자산,38476,-0.7427635
자산,1580,1.6650047
자산,97089,-1.2235086
자산,71292,-0.46794397
자산,33172,-0.58746254
자산,89840,-1.047783
자산,13946,-0.11474923
자산,13680,-0.28662992
자산,16580,-0.7858193
자산,37696,-0.7312873
자산,25100,-0.5473769
자산,1071,1.7785865
자산,29440,-1.3998998
자산,128451,-1.8494996
자산,700,1.4556772
자산,102001,-2.262381
자산,62894,-0.8473742
자산,161040,-1.8618201
자산,64983,-0.7529845
자산,74260,-0.6973437
자산,59804,-0.76493263
자산,414640,-1.1933751
자산,32950,-0.59918237
자산,40084,-0.6160311
자산,38747,-0.6908783
자산,60808,-0.9453254
자산,51550,-0.5964203
자산,21438,-0.31458747
자산,132560,-1.635423
자산,109010,-1.8099304
자산,157,1.5512354
자산,52936,-0.8200899
자산,44866,-0.64367366
자산,73900,-0.64424133
자산,31984,-0.77737564
자산,247250,-1.5797722
자산,736,0.9979693
자산,2450,0.8554636
자산,47550,-0.951408
자산,665,1.6807988
자산,30520,-0.5956144
자산,33500,-0.5731735
자산,19000,-0.6764999
자산,26136,-0.4370591
자산,30288,-0.82409346
자산,15300,-0.17659028
자산,9910,0.04865567
자산,38958,-0.37217823
자산,29820,-1.003893
자산,33940,-0.6457132
자산,48800,-0.7288636
자산,138600,-1.4916728
자산,52600,-0.7324572
자산,83560,-1.0474949
자산,122405,-2.0716436
자산,59320,-0.9021815
자산,77150,-1.0092466
자산,10675,-0.06721083
자산,27082,-0.7743419
자산,26040,-0.40772992
